Year,GDP,lnGDP,K,lnK,L,HC,lnHC,GOV,lnGOV,INF,AID,FDI,FIN,lnFIN,OPEN,lnOPEN,DEBT
1975,2609.349545,7.866856253,12.72004543,2.543179129,2.89537295,32.76448822,3.489345253,13.02290365,2.566709627,29.8245614,2.521966977,5.784402801,37.80049214,3.632322122,2.083037514,0.733827172,12.06589108
1976,2445.814296,7.802133392,,,2.878285914,32.13912964,3.47007428,12.24333435,2.504981654,56.08108108,-0.660372191,5.902696905,31.74992338,3.457890312,1.891897239,0.637580156,5.808447971
1977,2428.775359,7.795142442,,,2.947729892,31.75341988,3.458000432,12.622055,2.535445681,116.4502165,0.602536754,5.018364239,22.04604497,3.093133219,1.193037889,0.176502902,8.263477287
1978,2555.802517,7.84612155,,,3.03790622,31.2852993,3.443148316,11.2980082,2.424626445,73.09166667,0.264745237,3.521156962,18.04536358,2.892888786,2.023619985,0.704887979,9.972929631
1979,2416.589178,7.790112394,,,3.05380908,31.22072029,3.441081986,10.28630147,2.330813056,54.44128833,-0.069647793,2.818864715,22.39387712,3.108787579,2.585773002,0.950024497,14.50515671
1980,2358.005285,7.765571322,,,2.924694147,32.41180038,3.478522566,11.16400635,2.412694884,50.07013934,0.350938113,2.192616447,17.62111453,2.869097872,3.593274777,1.279063981,15.97879902
1981,2212.362901,7.701816409,,,2.809595304,33.20238876,3.502621824,8.79024041,2.173642062,116.503604,0.38517409,1.84738248,10.07903506,2.31045753,2.816117837,1.035359283,11.73452
1982,2000.213473,7.60100919,,,2.905715248,32.49069977,3.480953887,6.481128038,1.868894575,22.29556641,0.403865774,1.802350464,6.320343316,1.843773529,2.758536506,1.014700288,10.97215926
1983,1852.375772,7.524224295,,,3.007332556,33.45042038,3.510064354,5.861289516,1.768369633,122.8745146,0.059153001,1.542268445,11.54489834,2.446243637,3.611783895,1.284201804,8.318600433
1984,1961.27045,7.581347731,6.876822602,1.928156714,2.581571407,34.16764832,3.531279241,7.259361105,1.982291823,39.66531379,0.045328041,2.209409338,18.81461112,2.934633755,3.044337775,1.113283398,15.9394608
1985,2017.280827,7.609505758,9.570089317,2.258642538,2.150430203,33.64122009,3.515752103,9.398393228,2.240538741,10.30544067,0.124325459,3.108398825,24.2438376,3.188162466,3.602219306,1.281550129,14.22492821
1986,2075.968305,7.638182977,9.362075742,2.236667033,2.200791731,34.38526917,3.537628251,11.06702673,2.403970123,24.56541608,0.074969348,3.628109888,36.71168749,3.603095165,4.063625813,1.402075632,25.69813307
1987,2126.196658,7.662090056,10.43404826,2.34507433,2.29278306,34.56087875,3.54272237,10.63431635,2.364086164,39.81506788,0.092613941,3.154155496,45.84812332,3.825334267,8.406611074,2.129018429,28.62459917
1988,2192.547677,7.69281947,11.29599047,2.424447837,2.40254861,36.7949295,3.60536005,9.707989756,2.272949233,31.35926763,0.096195191,3.139281352,42.24549941,3.743497825,10.76975369,2.376741621,39.32547759
1989,2247.21262,7.717445892,13.20901431,2.580899499,2.498124316,33.34579086,3.506931553,9.844808194,2.286944229,25.22369203,0.285613182,5.844565464,41.08589105,3.715664779,8.840693106,2.179365279,47.68034554
1990,2263.519987,7.724676397,14.44399729,2.670278916,2.551561856,33.99819183,3.526307342,9.311528428,2.231253248,37.25906649,0.251311465,4.928698646,42.72817813,3.754858612,6.371117425,1.851774874,36.35808826
1991,2323.775955,7.750948708,15.87898641,2.764996626,2.519831776,,,9.483141087,2.2495156,18.03143901,0.302884126,3.657340448,42.48834926,3.749229903,4.650739157,1.537026165,55.65353777
1992,2354.660002,7.764151623,12.8,2.549445171,2.485769411,,,12.10756812,2.493830722,10.05611674,0.350680105,4.941929269,45.99359586,3.828502166,5.056319956,1.620638937,37.95029184
1993,2408.638713,7.786817018,22.21017019,3.100550301,2.469518199,,,14.44936856,2.670650715,24.95984247,2.094180161,4.838175667,56.66912012,4.037229444,5.262386299,1.660584593,37.81062066
1994,2429.01873,7.79524264,23.95773295,3.176291151,2.404156515,,,13.72334294,2.619098247,24.87025544,4.278068012,5.250032661,62.02115274,4.1274755,6.914403362,1.93360668,32.23173346
1995,2469.924065,7.811942686,20.02141466,2.996802434,2.360103481,33.25682831,3.504260109,12.07348066,2.491011366,59.4615537,1.647489067,5.073564508,57.42309429,4.050446562,6.410485823,1.857935059,37.35096041
1996,2523.956607,7.833583031,21.19999647,3.054001015,2.335654971,,,12.04370871,2.488542425,46.56101968,1.730854507,6.005079066,72.20494413,4.279508522,7.107393012,1.961135512,36.56728809
1997,2568.045598,7.850900421,24.80621254,3.211094127,2.378959574,,,12.35563365,2.514112125,27.88520864,1.18697924,8.195094024,85.40183797,4.447367622,8.272654021,2.112955379,27.09438779
1998,2624.142376,7.872509408,23.10938945,3.140239005,2.432367719,,,10.32416166,2.33448694,14.62416667,2.237349006,9.203715709,80.59954325,4.389492983,7.944003561,2.072417375,37.6647916
1999,2673.534841,7.891156786,21.0005345,3.04454789,2.441208076,32.4872818,3.480848684,10.84334639,2.383551656,4.865397851,3.157508776,12.40540658,81.70510403,4.403116473,6.965101164,1.940912132,31.85850294
2000,2703.667214,7.902364358,23.9986005,3.177995516,2.51243584,32.57759094,3.483624658,10.17161587,2.319601083,40.24093312,3.329419468,13.81501195,116.0484302,4.754007606,9.669381543,2.268964351,30.58749457
2001,2737.920632,7.914954018,26.5994216,3.280889471,2.663105441,30.94338989,3.432159402,9.722363918,2.27442879,41.50949629,1.680567013,11.74587349,110.0458542,4.700897135,5.997692223,1.791374766,31.9754484
2002,2783.514236,7.931469522,19.7,2.980618636,2.7501377,32.26757813,3.474062953,9.872770251,2.289780488,9.360932396,0.955694278,12.00123917,97.48924317,4.579742045,3.679085596,1.302664242,33.25579677
2003,2850.251957,7.955162675,22.93692798,3.132748187,2.699996233,33.65478897,3.516155363,11.53320324,2.445230114,29.77297972,1.791640939,12.38701445,97.28714571,4.577666871,6.724836603,1.905807628,46.25296
2004,2931.194266,7.983165218,28.37750668,3.345596813,2.648564224,36.14455032,3.587526185,12.17281188,2.49920493,18.04273882,1.56810547,13.05803853,99.67033435,4.601868084,3.192980763,1.160954889,64.88895415
2005,3023.77929,8.014262749,29.00214064,3.367369642,2.622757231,38.12768936,3.640940773,15.30816526,2.728386363,15.43899202,1.349239866,15.42956105,98.17151411,4.586716093,3.317351003,1.199166574,51.34361287
2006,3134.737114,8.050300594,22.46580574,3.111994408,2.599672365,39.8474884,3.685059377,8.682009582,2.161253021,11.67918394,3.045290185,10.78497664,64.51905424,4.166960595,1.601220771,0.47076632,53.65499095
2007,3187.768019,8.06707627,15.38454499,2.733363433,2.577428818,43.75952148,3.778709223,8.524940361,2.142996027,10.73426655,5.57118877,14.41773958,65.35432229,4.179823579,1.20058218,0.182806589,49.18812749
2008,3392.252816,8.129249527,16.49196394,2.802873228,2.537779829,46.05958176,3.829935814,8.731659768,2.166955474,16.49463961,9.466439082,12.55895051,69.51422561,4.241531417,1.095887572,0.091564603,54.1102556
2009,3468.9411,8.151604668,16.43179311,2.799218062,2.495284986,47.92771912,3.869694024,7.574243956,2.024753539,19.24694822,9.108086691,17.62266422,71.59473853,4.271021587,1.37119873,0.315685343,63.73748178
2010,3653.009188,8.203306542,13.10019371,2.572627017,2.43301424,,,7.069499421,1.955789674,10.73338984,7.849484553,15.95141457,75.37781579,4.322513011,1.477310272,0.390223051,53.741716
2011,4067.152366,8.310698369,12.80999297,2.550225567,2.404971455,55.60692978,4.01830783,13.78859812,2.623842027,8.728459371,8.255879713,16.52994706,86.29545385,4.457776918,1.362610887,0.309402629,69.12664348
2012,4338.827871,8.375359515,16.96772212,2.83131284,2.41990908,56.73260178,4.038349033,11.76434631,2.465073458,11.18634094,7.982515659,17.16367348,93.16803513,4.534404692,2.447135876,0.894918311,67.30227203
2013,4545.267712,8.421841907,24.77153805,3.209695335,2.409279309,68.19914246,4.222431991,8.783172846,2.172837714,11.66619231,5.134796609,14.54348345,60.7593219,4.106920517,1.411673564,0.344775925,48.49765938
2014,4565.823417,8.426354153,27.16506634,3.301931822,2.364985531,63.97456998,4.15848566,8.26779338,2.112367651,15.48961603,6.151206352,15.74141416,63.83656244,4.156326105,4.961111456,1.6016298,40.05218224
